,name,prices,rating,reviews,dicounts,fdelivery
180,ZEBRONICS ZEB-PIXAPLAY 28 (9000 lm) 1080p FHD,"₹25,999",3,3,65%,Free delivery
181,PLAY Gold 3D Projector with Native Full Hd,"₹16,999",3,4,83%,Free delivery
182,XElectron iProjector 1 Native 1080P Auto Focus 4K Andro...,"₹23,717",3.9,10,40%,Free delivery
183,QAWACHH WiFi Projector Home/Meeting Using Mini Led LCD ...,"₹6,999",3.6,33,11%,Free delivery
184,Omex Android 9.0 Voice Search 1080p Full HD New Wifi,"₹11,399",3.7,34,53%,Free delivery
185,JANROCK Mini Home Theater LED Projector with Remote Con...,"₹2,899",0,0,42%,Free delivery
186,Livato Y6 Full HD 1080p Modulated at 720p 8000 Lumens H...,"₹8,099",3.9,553,46%,Free delivery
187,UNIY ANDROID 9.0 WIFI YOUTUBE NETFLIX HD LED 3D Project...,"₹8,415",3.8,292,43%,Free delivery
188,Acer X1123H (3600 lm) Portable Projector,"₹33,490",4.8,6,6%,Free delivery
189,UNIY UY40(800x480)Resolution|Display size 35 to 120 inc...,"₹4,900",3.4,33,48%,Free delivery
190,Livato T4 Full HD Wifi Inbuilt Youtube (3998 lm / 1 Spe...,"₹5,848",4,85,61%,Free delivery
191,PLAY MP1-A Smart WIFI 3D 4k Full HD LED Recently Launch...,"₹13,999",4.1,377,72%,Free delivery
192,TOTAL LIMITED STOCK BEST QUALITY LED Video Projector fo...,"₹3,599",3.4,193,76%,Free delivery
193,PLAY P4 LED Full HD Advance 1080P USB HDMI VGA AV INPUT...,"₹13,770",3.5,100,72%,Free delivery
194,IBS BEST QUALITY T6 WIFI LED Projector 1080p Full HD wi...,"₹6,989",3.6,181,53%,Free delivery
195,heavenox 2 FT Universal Projector Ceiling Mount Bracket...,"₹1,199",0,0,60%,Free delivery
196,PLAY Full HD Electric Remote Focus Disc touch Projector...,"₹15,990",0,0,92%,Free delivery
197,PLAY MP4 Latest Android 9.0 Advance Technology 4k 3D Fu...,"₹25,080",3.8,39,66%,Free delivery
198,WZATCO EVE Native HD 720P FullHD Support Electronic Foc...,"₹7,990",4.3,30,50%,Free delivery
199,PLAY Portable 4 Inch (2500 lm) Portable Projector,"₹12,825",0,0,84%,Free delivery
